c FILE			: graph.txt
a 2 11 97
a 2 8 38
a 2 2657 49
a 2 791 67
a 2 5 18
a 2 40 91
a 2 8 54
a 2 647 22
a 2 186 69
a 2 631 62
a 2 4112 14
a 2 3047 43
a 2 2502 78
a 2 2822 76
a 2 710 36
a 2 20 91
a 2 2871 7
a 2 206 83
a 2 2901 36
a 2 392 71
a 2 315 30
a 2 372 70
a 2 11 14
a 2 3165 68
a 2 1916 40
a 2 1768 71
a 2 2838 26
a 2 80 80
a 2 2717 43
a 2 4689 25
a 2 101 50
a 2 4377 68
a 2 4 53
a 2 82 47
a 2 1591 18
a 2 157 40
a 2 147 66
a 2 548 78
a 2 6 67
a 2 655 4
a 2 4 67
a 2 3663 42
a 2 327 35
a 2 127 68
a 2 2864 41
a 2 2874 76
a 2 11 48
a 2 158 51
a 2 1282 88
a 2 3165 66
a 2 3760 1
a 3 478 61
a 3 908 66
a 3 1113 52
a 3 20 49
a 3 7 21
a 3 315 54
a 3 2513 40
a 3 2855 56
a 3 2503 22
a 3 1652 35
a 3 315 54
a 3 2579 36
a 3 1303 25
a 3 2629 33
a 3 42 61
a 3 1418 26
a 3 1 76
a 3 901 93
a 3 128 57
a 3 2608 41
a 3 345 95
a 3 4307 54
a 3 475 21
a 3 1279 50
a 3 2135 65
a 3 12 58
a 3 205 26
a 3 85 75
a 3 2504 13
a 3 1061 12
a 3 196 63
a 3 3840 43
a 3 2705 55
a 3 157 53
a 3 81 67
a 3 196 56
a 3 4 53
a 3 16 86
a 3 475 26
a 3 53 61
a 3 704 32
a 3 51 74
a 3 1915 35
a 3 3879 47
a 3 81 75
a 3 157 56
a 3 1257 31
a 3 2502 28
a 3 1934 70
a 3 2751 12
a 3 3935 66
a 3 671 65
a 3 938 76
a 3 1371 43
a 3 368 46
a 3 22 63
a 3 2659 70
a 3 2535 7
a 3 2579 86
a 3 1594 24
a 3 284 54
a 3 40 60
a 3 2547 50
a 3 658 97
a 3 159 76
a 3 2 36
a 3 31 80
a 3 2588 88
a 3 863 3
a 3 157 67
a 3 118 56
a 3 3793 34
a 3 1891 97
a 3 1239 69
a 3 235 89
a 3 336 2
a 3 2510 45
a 3 2978 54
a 3 2583 67
a 4 1119 75
a 4 4710 80
a 4 85 18
a 4 27 37
a 4 197 65
a 4 40 63
a 4 313 51
a 4 3168 90
a 4 2669 55
a 4 238 56
a 4 2503 95
a 4 81 37
a 4 86 65
a 4 3976 52
a 4 296 23
a 4 914 92
a 4 2523 25
a 4 3752 22
a 4 245 58
a 4 743 67
a 4 1584 30
a 4 47 32
a 4 51 78
a 4 3310 49
a 4 2934 46
a 4 1848 22
a 4 329 0
a 4 2349 6
a 4 3941 12
a 4 2507 39
a 4 951 82
a 4 60 67
a 4 1421 75
a 4 3285 64
a 4 6 11
a 4 1297 45
a 4 2679 47
a 4 2095 77
a 4 1252 32
a 4 3517 34
a 4 101 75
a 4 27 42
a 4 1254 57
a 5 2516 68
a 5 1439 15
a 5 2504 10
a 5 1283 89
a 5 1978 31
a 5 2680 1
a 5 2515 50
a 5 1297 94
a 5 1595 62
a 5 314 24
a 5 2544 32
a 5 939 37
a 5 1411 53
a 5 786 23
a 5 4145 91
a 5 111 91
a 5 2544 78
a 5 2530 17
a 5 4410 16
a 5 4 59
a 5 2935 23
a 5 2739 34
a 5 83 81
a 5 1654 1
a 5 44 15
a 5 131 13
a 5 470 3
a 5 3228 13
a 5 2540 26
a 5 501 32
a 5 469 49
a 5 419 58
a 5 1660 17
a 5 162 64
a 5 425 80
a 5 2865 1
a 5 2657 8
a 5 3130 18
a 5 3516 6
a 5 632 54
a 5 645 61
a 5 2981 27
a 5 1251 80
a 5 972 84
a 5 353 50
a 5 641 63
a 5 164 12
a 5 1315 43
a 5 632 12
a 5 32 74
a 5 2505 81
a 5 1880 33
a 5 1412 3
a 5 6 40
a 5 1251 32
a 5 157 16
a 5 3440 10
a 5 997 11
a 5 3243 72
a 5 1265 87
a 5 41 47
a 5 2503 66
a 5 3254 10
a 5 319 26
a 5 3481 51
a 5 2611 27
a 5 1357 64
a 5 246 73
a 5 398 99
a 5 157 62
a 5 656 8
a 5 1708 49
a 5 677 8
a 5 4775 77
a 5 3892 36
a 6 210 78
a 6 845 25
a 6 2719 41
a 6 357 81
a 6 1570 22
a 6 1146 71
a 6 3127 93
a 6 2662 32
a 6 2709 20
a 6 164 81
a 6 34 57
a 6 4310 63
a 6 650 3
a 6 239 60
a 6 718 13
a 6 249 87
a 6 626 50
a 6 50 2
a 6 3172 90
a 6 3130 23
a 6 3953 79
a 6 444 21
a 6 17 21
a 6 4415 38
a 6 2866 21
a 6 56 44
a 6 1345 76
a 6 1330 52
a 6 3 42
a 6 1264 69
a 6 201 59
a 6 320 1
a 6 973 1
a 6 2504 80
a 6 30 25
a 6 15 6
a 6 2120 95
a 6 2134 69
a 6 3052 91
a 6 161 58
a 6 1097 38
a 6 1412 9
a 6 17 97
a 6 2969 0
a 6 2901 12
a 6 89 44
a 6 1101 15
a 6 92 63
a 6 631 53
a 6 1329 52
a 6 1279 50
a 6 2529 56
a 7 2973 0
a 7 1494 58
a 7 4 93
a 7 3149 54
a 7 3803 46
a 7 2847 65
a 7 319 95
a 7 8 58
a 7 8 50
a 7 182 34
a 7 475 58
a 7 650 28
a 7 632 65
a 7 85 70
a 7 1258 2
a 7 363 17
a 7 1807 24
a 7 512 12
a 7 410 9
a 7 85 8
a 7 4286 32
a 7 485 8
a 7 2991 64
a 7 2573 4
a 7 6 68
a 7 62 28
a 7 103 67
a 7 1094 96
a 7 221 97
a 7 4371 29
a 7 4 33
a 7 1569 92
a 7 99 85
a 7 74 74
a 7 2516 35
a 7 681 11
a 7 46 57
a 7 157 28
a 7 2814 13
a 7 21 1
a 7 493 64
a 7 436 52
a 7 2540 72
a 7 2995 40
a 7 1574 0
a 7 1257 29
a 7 475 54
a 7 1689 70
a 7 1264 53
a 7 61 34
a 7 1254 1
a 7 3753 79
a 8 80 21
a 8 85 3
a 8 2542 77
a 8 1267 5
a 8 1332 86
a 8 1528 92
a 8 631 98
a 8 1101 41
a 8 1264 11
a 8 348 1
a 8 1879 56
a 8 406 24
a 8 629 95
a 8 2508 40
a 8 124 46
a 8 1336 33
a 8 1433 86
a 8 341 68
a 8 279 72
a 8 1381 92
a 8 398 46
a 10 2504 27
a 10 645 21
a 10 1270 68
a 10 1290 86
a 10 1887 84
a 10 1947 41
a 10 258 91
a 10 94 38
a 10 1258 72
a 10 1266 90
a 10 3505 35
a 10 166 35
a 10 674 41
a 10 2835 40
a 10 1251 60
a 10 3245 6
a 10 3213 11
a 10 79 27
a 10 831 23
a 10 52 96
a 10 323 55
a 10 1926 9
a 10 333 98
a 10 1494 59
a 10 698 80
a 10 791 44
a 10 2 42
a 10 1410 24
a 10 1372 4
a 10 341 99
a 10 4378 70
a 10 2501 43
a 10 224 43
a 10 2501 31
a 10 481 1
a 10 2194 45
a 10 1896 27
a 10 101 58
a 10 2529 62
a 10 2662 78
a 10 2828 77
a 10 3109 56
a 10 36 97
a 10 205 26
a 10 1 22
a 10 129 54
a 10 2973 79
a 10 323 29
a 10 206 57
a 10 576 21
a 10 1205 53
a 10 197 66
a 10 224 92
a 10 3916 99
a 10 2741 73
a 10 900 50
a 10 102 16
a 10 681 48
a 10 1644 77
a 10 1142 35
a 10 2045 28
a 10 675 6
a 10 2820 85
a 10 2592 92
a 10 187 0
a 10 12 80
a 10 4376 4
a 10 1578 54
a 10 2536 70
a 10 2676 8
a 10 3770 48
a 10 141 53
a 10 1181 31
a 10 128 12
a 10 908 10
a 10 1419 72
a 10 771 19
a 10 15 32
a 10 343 55
a 10 1420 28
a 10 3154 72
a 10 53 72
a 10 1411 29
a 10 3799 3
a 10 791 56
a 10 958 99
a 10 2515 9
a 10 89 2
a 10 1303 95
a 10 1430 17
a 11 3681 25
a 11 322 69
a 11 1890 25
a 11 60 10
a 11 316 82
a 11 4063 83
a 11 2120 79
a 11 1299 55
a 11 2392 35
a 11 3753 21
a 11 1417 91
a 11 323 49
a 11 2037 67
a 11 177 66
a 11 2552 79
a 11 3129 77
a 11 2511 57
a 11 167 7
a 11 24 13
a 11 707 91
a 11 1573 8
a 11 88 84
a 11 1251 67
a 11 4389 55
a 11 381 55
a 11 1006 82
a 11 2672 35
a 11 932 68
a 11 381 7
a 11 2768 88
a 11 1633 10
a 11 45 78
a 11 1182 72
a 11 53 24
a 11 3574 61
a 11 84 11
a 11 91 48
a 11 831 64
a 11 558 31
a 11 158 8
a 11 2516 56
a 11 3441 93
a 11 1339 98
a 11 2833 69
a 11 672 88
a 11 787 48
a 11 2551 31
a 11 3806 80
a 11 323 13
a 11 15 65
a 11 3488 4
a 11 2685 55
a 11 1252 88
a 11 267 59
a 11 107 66
a 11 640 94
a 11 879 35
a 11 967 53
a 11 1587 19
a 11 1262 61
a 12 680 61
a 12 3156 90
a 12 186 97
a 12 5 86
a 12 1632 93
a 12 641 93
a 12 81 66
a 12 207 56
a 12 2848 78
a 12 69 7
a 12 2305 55
a 12 2867 0
a 12 1564 16
a 12 2814 90
a 12 166 76
a 12 641 4
a 12 793 70
a 12 339 81
a 12 22 44
a 12 51 57
a 12 29 96
a 12 1331 30
a 12 674 99
a 12 412 16
a 12 11 18
a 12 34 54
a 12 166 97
a 12 2824 5
a 12 1573 41
a 12 172 84
a 12 2223 46
a 12 4495 48
a 12 3761 64
a 12 1409 71
a 12 471 81
a 12 938 82
a 12 2516 24
a 12 2516 18
a 12 1330 99
a 12 1285 99
a 12 3135 87
a 12 657 37
a 12 1266 61
a 12 635 81
a 12 170 14
a 12 1046 88
a 12 2507 29
a 12 1253 55
a 12 635 28
a 12 2004 87
a 12 1305 89
a 12 1573 61
a 12 2815 95
a 12 480 55
a 12 2535 87
a 12 108 83
a 12 180 84
a 12 158 98
a 12 1281 19
a 12 2248 67
a 12 4846 31
a 13 549 48
a 13 1265 54
a 13 2589 19
a 13 3024 32
a 13 3754 80
a 13 3285 64
a 13 1969 45
a 13 2355 73
a 13 647 47
a 13 2504 73
a 13 890 33
a 13 324 24
a 13 991 40
a 13 954 77
a 13 43 22
a 13 1299 53
a 13 32 93
a 13 413 89
a 13 358 18
a 13 2582 75
a 13 53 19
a 13 2515 45
a 13 2513 8
a 13 3316 17
a 13 93 53
a 13 1144 27
a 13 4418 1
a 13 2523 88
a 13 32 89
a 13 3448 70
a 13 17 38
a 13 720 81
a 13 50 88
a 13 1301 30
a 13 1568 58
a 13 342 25
a 13 3138 79
a 13 3751 16
a 14 2515 48
a 14 632 39
a 14 11 75
a 14 168 36
a 14 94 96
a 14 540 91
a 14 1654 19
a 14 404 24
a 14 55 47
a 14 2593 77
a 14 1342 93
a 14 641 14
a 14 50 25
a 14 205 40
a 14 628 21
a 14 2709 60
a 14 1889 63
a 14 786 75
a 14 247 47
a 14 2978 10
a 14 1890 71
a 14 2634 3
a 14 1279 99
a 14 1264 29
a 14 5 82
a 14 352 94
a 14 1641 30
a 14 1937 14
a 14 33 9
a 14 635 81
a 14 2680 49
a 14 92 11
a 14 637 77
a 14 1255 85
a 14 796 34
a 14 3755 89
a 14 16 42
a 14 2666 36
a 14 637 48
a 14 552 95
a 14 2646 74
a 14 2846 0
a 14 1915 54
a 14 2583 13
a 14 2505 94
a 14 2594 98
a 14 2080 37
a 14 1655 97
a 14 715 88
a 14 2529 50
a 14 53 71
a 14 114 40
a 15 2279 2
a 15 11 78
a 15 656 72
a 15 1255 30
a 15 1335 77
a 15 17 90
a 15 258 82
a 15 3937 56
a 15 841 90
a 15 3214 53
a 15 1321 68
a 15 3916 21
a 15 2 43
a 15 472 71
a 15 88 5
a 15 971 69
a 15 173 72
a 15 171 78
a 15 730 84
a 15 2866 47
a 15 1255 60
a 15 825 36
a 15 2517 34
a 15 717 53
a 15 378 14
a 15 144 61
a 15 1258 14
a 15 1255 17
a 15 1880 97
a 15 1987 28
a 15 1204 18
a 15 169 35
a 15 3232 40
a 16 104 98
a 16 2136 44
a 16 92 90
a 16 2516 84
a 16 4 64
a 16 2508 56
a 16 1441 41
a 16 17 68
a 16 1956 96
a 16 3863 26
a 16 2526 61
a 16 1296 28
a 16 1257 91
a 16 1359 77
a 16 3976 23
a 16 14 12
a 16 81 49
a 16 1822 29
a 16 557 56
a 16 265 34
a 16 44 29
a 16 3987 33
a 16 94 47
a 16 1492 31
a 16 3844 54
a 16 89 41
a 16 357 24
a 16 73 57
a 16 1290 72
a 16 2 94
a 16 4122 56
a 16 144 59
a 16 2689 7
a 16 894 39
a 16 1257 63
a 17 86 91
a 17 173 12
a 17 15 68
a 17 3238 63
a 17 89 86
a 17 953 46
a 17 47 4
a 17 151 85
a 17 698 76
a 17 26 30
a 17 1888 97
a 17 1419 52
a 17 4009 61
a 17 1345 15
a 17 816 75
a 17 144 45
a 17 2516 12
a 17 3096 4
a 17 1258 56
a 17 15 64
a 20 1787 11
a 20 22 18
a 20 763 18
a 20 986 89
a 20 2969 66
a 20 2991 83
a 20 180 40
a 20 314 89
a 20 410 19
a 20 7 51
a 20 326 78
a 20 1411 72
a 20 1567 64
a 20 341 33
a 20 649 36
a 20 323 13
a 20 1251 78
a 20 10 90
a 20 3849 93
a 20 319 22
a 20 4405 82
a 20 1896 11
a 20 3779 65
a 20 996 7
a 20 12 86
a 20 2971 80
a 20 35 68
a 20 3303 61
a 20 384 3
a 20 343 35
a 20 2613 13
a 20 2900 22
a 20 3917 33
a 20 176 48
a 20 2503 65
a 20 68 52
a 20 141 70
a 20 3135 21
a 20 645 14
a 20 1095 51
a 20 924 84
a 20 2505 49
a 20 645 68
a 20 2503 0
a 20 2822 51
a 20 1960 19
a 20 1270 86
a 20 2337 48
a 20 2502 17
a 20 269 42
a 20 22 65
a 20 2529 30
a 20 3809 32
a 20 1432 51
a 20 4171 16
a 20 3149 71
a 20 421 3
a 20 2507 71
a 20 2502 72
a 20 176 14
a 20 473 67
a 20 99 42
a 20 66 83
a 20 958 6
a 20 4 11
a 20 3228 29
a 20 176 77
a 20 3911 85
a 20 2053 12
a 20 1719 48
a 20 109 28
a 20 104 41
a 20 1432 49
a 20 627 28
a 20 724 33
a 20 2602 84
a 20 315 85
a 20 2969 83
a 20 626 55
a 20 177 33
a 20 265 45
a 20 12 49
a 20 1359 94
a 21 186 80
a 21 1427 29
a 21 89 19
a 21 2527 13
a 21 344 3
a 21 71 34
a 21 32 78
a 21 2502 92
a 21 4480 51
a 21 1280 39
a 21 4728 99
a 21 1261 47
a 21 31 14
a 21 1723 87
a 21 4700 86
a 21 716 31
a 21 298 90
a 21 218 63
a 21 2683 55
a 21 1364 94
a 21 1626 5
a 21 2844 16
a 21 354 90
a 21 201 98
a 21 537 38
a 21 2533 94
a 21 392 51
a 21 391 22
a 21 185 22
a 21 341 60
a 21 2521 3
a 21 2599 52
a 21 996 85
a 21 3149 82
a 21 373 10
a 21 4 78
a 21 413 9
a 21 1294 16
a 21 3761 93
a 21 344 73
a 21 2664 2
a 21 30 30
a 21 2835 91
a 21 137 62
a 21 2562 85
a 21 1266 3
a 21 314 85
a 22 198 80
a 22 1840 20
a 22 217 93
a 22 176 74
a 22 43 2
a 22 734 74
a 22 31 29
a 22 110 61
a 22 2240 25
a 22 3854 25
a 22 2744 57
a 22 2507 43
a 22 1252 56
a 22 215 8
a 22 1584 47
a 22 680 1
a 22 3683 12
a 22 1220 36
a 22 1467 52
a 22 33 89
a 22 2949 75
a 22 319 41
a 22 1429 47
a 22 380 10
a 22 26 95
a 22 3976 27
a 22 2912 42
a 22 34 95
a 22 656 45
a 22 2561 23
a 22 2857 62
a 22 4694 11
a 22 2876 52
a 22 2523 54
a 22 4419 26
a 22 963 89
a 22 3229 49
a 22 3464 36
a 22 530 34
a 22 1292 0
a 22 343 32
a 22 886 61
a 22 810 88
a 22 383 83
a 22 3 67
a 22 2599 53
a 22 129 32
a 22 2 29
a 22 765 6
a 22 2904 53
a 22 196 44
a 22 164 96
a 22 180 32
a 22 348 46
a 23 45 28
a 23 60 80
a 23 84 92
a 23 1312 31
a 23 160 50
a 23 257 88
a 23 270 71
a 23 798 46
a 23 192 2
a 23 2526 41
a 23 226 18
a 23 192 0
a 23 2513 96
a 23 2844 92
a 23 343 74
a 23 1198 49
a 23 1428 60
a 23 296 35
a 23 410 74
a 23 99 88
a 23 1272 54
a 23 317 29
a 23 687 86
a 23 1292 50
a 23 3801 75
a 23 813 9
a 23 1 88
a 23 2952 32
a 23 3754 62
a 23 143 47
a 23 962 32
a 23 539 13
a 24 1381 52
a 24 1976 22
a 24 5 11
a 24 371 3
a 24 725 73
a 24 83 20
a 24 34 47
a 24 628 30
a 24 54 59
a 24 2120 40
a 24 4710 37
a 24 2697 94
a 24 665 89
a 24 25 81
a 24 35 29
a 24 1899 7
a 24 1350 94
a 24 880 63
a 24 656 59
a 24 131 16
a 24 958 82
a 24 2758 11
a 24 10 37
a 24 1342 70
a 24 332 88
a 24 25 66
a 24 723 16
a 24 2892 2
a 24 263 17
a 24 25 93
a 24 3228 94
a 24 1977 67
a 24 2833 83
a 24 590 29
a 24 338 94
a 24 4408 41
a 24 404 20
a 24 2520 74
a 24 1549 19
a 24 2289 72
a 24 85 82
a 24 2592 90
a 24 258 91
a 24 2563 5
a 24 33 63
a 25 558 63
a 25 317 93
a 25 533 6
a 25 401 9
a 25 2956 41
a 25 541 86
a 25 278 77
a 25 3285 32
a 25 1394 39
a 25 2191 75
a 25 102 42
a 25 1490 83
a 25 4483 59
a 25 1974 51
a 25 179 16
a 25 1572 26
a 25 2795 11
a 25 1426 92
a 25 646 86
a 25 139 33
a 25 317 77
a 26 16 76
a 26 72 43
a 26 942 59
a 26 1882 38
a 26 733 39
a 26 2594 64
a 26 758 76
a 26 3687 48
a 26 2582 67
a 26 3208 55
a 26 1290 88
a 26 348 44
a 26 1680 54
a 26 59 48
a 26 1314 51
a 26 180 84
a 26 758 7
a 26 1420 9
a 26 81 86
a 26 1016 36
a 26 1413 35
a 26 31 64
a 26 25 32
a 26 3225 92
a 26 1349 92
a 26 2525 92
a 26 2546 53
a 26 79 83
a 26 74 65
a 26 1353 33
a 26 456 46
a 26 1276 65
a 26 107 22
a 27 2637 93
a 27 338 98
a 27 1363 84
a 27 3151 16
a 27 2000 53
a 27 231 92
a 27 1905 77
a 27 774 71
a 27 64 86
a 27 1280 75
a 27 1257 86
a 27 1565 92
a 29 2529 9
a 29 639 50
a 29 529 79
a 29 654 28
a 29 249 68
a 29 1263 40
a 29 263 2
a 29 1260 52
a 29 1 16
a 29 871 36
a 29 61 6
a 29 225 89
a 29 812 42
a 29 2716 24
a 29 176 88
a 29 395 78
a 29 4525 19
a 29 2100 8
a 29 169 44
a 29 1 12
a 29 32 44
a 29 2514 20
a 29 35 59
a 29 423 84
a 29 1046 22
a 29 2045 82
a 29 1320 82
a 29 2510 93
a 29 2768 30
a 29 59 82
a 29 736 99
a 29 3140 94
a 29 1274 27
a 29 322 50
a 29 3466 50
a 29 732 89
a 29 10 65
a 29 1352 62
a 29 21 45
a 29 2705 18
a 29 30 24
a 29 2 12
a 29 323 72
a 30 401 17
a 30 1973 77
a 30 2349 96
a 30 391 51
a 30 124 49
a 30 488 73
a 30 3956 99
a 30 1822 5
a 30 31 85
a 30 342 75
a 30 2502 62
a 30 102 86
a 30 835 36
a 30 158 78
a 30 638 16
a 30 2745 95
a 30 1351 2
a 30 3774 74
a 30 109 15
a 30 1348 63
a 30 111 50
a 30 1631 4
a 30 140 90
a 30 1310 44
a 30 108 59
a 30 199 10
a 30 4092 32
a 30 967 44
a 30 646 15
a 30 3800 23
a 30 4316 80
a 30 255 54
a 30 2529 31
a 30 10 88
a 30 14 49
a 30 3135 1
a 30 149 44
a 30 34 0
a 30 422 24
a 31 55 47
a 31 209 78
a 31 1979 34
a 31 1441 80
a 31 72 5
a 31 658 55
a 31 42 28
a 31 4170 47
a 31 2512 79
a 31 3802 98
a 31 14 72
a 31 3232 42
a 31 12 71
a 31 1730 63
a 31 302 31
a 31 343 94
a 31 98 46
a 31 146 2
a 31 364 4
a 31 2607 3
a 31 1680 67
a 31 51 29
a 31 35 23
a 32 110 40
a 32 2516 75
a 32 2064 19
a 32 1314 32
a 32 1041 15
a 32 8 82
a 32 247 29
a 32 217 47
a 32 2517 47
a 32 1045 89
a 32 642 82
a 32 2822 4
a 32 1496 39
a 32 173 71
a 32 344 86
a 32 21 6
a 33 1597 45
a 33 1430 58
a 33 2533 41
a 33 235 71
a 33 25 47
a 33 472 40
a 33 4557 69
a 33 230 75
a 33 55 47
a 33 1315 16
a 33 228 12
a 33 20 48
a 33 34 24
a 33 947 81
a 33 2524 24
a 33 3873 98
a 33 1279 49
a 33 2657 34
a 33 98 18
a 33 2595 22
a 33 1315 0
a 33 3154 40
a 33 326 0
a 33 2983 84
a 33 358 10
a 33 15 4
a 33 2501 73
a 33 27 99
a 33 1044 19
a 33 2643 16
a 33 373 76
a 33 979 39
a 33 2 70
a 33 717 5
a 33 29 16
a 33 650 46
a 34 44 9
a 34 3756 51
a 34 1832 93
a 34 189 16
a 34 419 42
a 34 3315 84
a 34 239 4
a 34 736 89
a 34 56 23
a 34 1673 13
a 34 35 85
a 34 3751 3
a 34 4390 33
a 34 698 48
a 34 75 68
a 34 85 91
a 34 11 55
a 34 3783 89
a 34 3780 42
a 34 2603 38
a 34 89 81
a 34 30 31
a 34 3264 47
a 34 962 91
a 35 2451 87
a 35 188 32
a 35 1788 49
a 35 2766 12
a 35 33 25
a 35 334 81
a 35 1441 52
a 35 436 4
a 35 160 78
a 35 185 33
a 35 720 96
a 35 952 73
a 35 1396 30
a 35 3133 56
a 35 64 26
a 35 2610 85
a 35 187 77
a 35 658 62
a 35 94 85
a 35 1296 26
a 36 2632 79
a 36 3849 83
a 36 1282 16
a 36 25 0
a 36 34 98
a 36 69 4
a 36 129 93
a 36 1572 22
a 36 26 56
a 36 3939 90
a 36 3152 73
a 36 2963 47
a 40 313 77
a 40 434 40
a 40 1290 10
a 40 997 38
a 40 537 36
a 40 46 64
a 40 2526 71
a 40 750 75
a 40 2540 80
a 40 2553 72
a 40 1767 37
a 40 1876 45
a 40 1928 18
a 40 684 66
a 40 2541 83
a 40 2951 67
a 40 3174 8
a 40 1301 1
a 40 2551 78
a 40 323 39
a 40 528 79
a 40 3166 69
a 40 1260 45
a 40 80 20
a 40 883 9
a 40 1625 10
a 40 259 0
a 40 3868 38
a 40 1924 48
a 40 55 91
a 40 979 77
a 40 3482 6
a 40 1283 15
a 40 2865 84
a 40 7 83
a 40 2735 84
a 40 626 59
a 40 3505 2
a 40 2797 35
a 40 766 81
a 40 361 63
a 40 629 78
a 40 2550 64
a 40 1 30
a 40 1651 82
a 40 1925 78
a 40 3795 64
a 40 2876 17
a 40 1916 11
a 40 2623 42
a 40 3137 68
a 40 100 27
a 40 2075 81
a 40 517 69
a 40 648 53
a 40 5 55
a 40 1916 28
a 40 148 3
a 40 24 53
a 40 430 9
a 40 2540 29
a 40 716 3
a 40 124 29
a 40 47 71
a 40 2627 75
a 40 1313 54
a 40 178 55
a 40 236 54
a 40 2543 35
a 40 118 27
a 40 361 38
a 40 3383 75
a 40 2534 93
a 40 120 48
a 40 1 97
a 40 919 77
a 40 33 48
a 40 1292 92
a 40 1137 96
a 40 371 65
a 40 1916 15
a 40 68 77
a 40 137 18
a 40 26 14
a 40 1777 39
a 40 686 68
a 40 517 54
a 40 352 40
a 40 2326 18
a 40 198 42
a 40 636 51
a 40 352 83
a 40 162 88
a 40 361 58
a 41 2512 99
a 41 3947 87
a 41 841 35
a 41 61 89
a 41 157 0
a 41 1255 40
a 41 3165 42
a 41 357 4
a 41 3501 52
a 41 665 11
a 41 1314 98
a 41 655 92
a 41 1631 4
a 41 335 24
a 41 361 7
a 41 705 47
a 41 42 67
a 41 352 81
a 41 1584 42
a 41 362 55
a 41 2844 21
a 41 528 22
a 41 677 14
a 41 1304 42
a 41 627 99
a 41 92 25
a 41 849 67
a 41 13 4
a 41 3752 89
a 41 92 18
a 41 2530 80
a 41 21 11
a 41 3752 58
a 41 2250 75
a 41 2697 55
a 41 2541 2
a 41 548 33
a 41 981 13
a 41 1256 48
a 41 2 88
a 41 844 96
a 41 856 1
a 41 1417 47
a 41 527 32
a 41 400 60
a 41 1273 32
a 41 60 2
a 41 4522 26
a 41 158 89
a 41 4422 44
a 41 3138 45
a 41 3177 35
a 41 962 99
a 41 236 0
a 41 84 51
a 41 63 87
a 41 10 9
a 42 3010 62
a 42 3130 4
a 42 2575 96
a 42 1 88
a 42 209 35
a 42 1449 5
a 42 666 55
a 42 109 62
a 42 329 86
a 42 1967 34
a 42 632 99
a 42 842 83
a 42 81 40
a 42 2195 7
a 42 4463 34
a 42 210 94
a 42 70 98
a 42 352 46
a 42 43 52
